,0
blood_pressure,0.7552705723735847
depression,0.6848568661487218
sleep_quality,0.6816377948822022
future_career_concerns,0.6812685112397907
anxiety_level,0.6666906689892363
bullying,0.6664266686072575
self_esteem,0.6608364424000702
headache,0.5789011226292461
social_support,0.5330472021831009
teacher_student_relationship,0.5302869001153495
academic_performance,0.5291218094011612
extracurricular_activities,0.5284190946361278
basic_needs,0.520585300599865
safety,0.5067541012520751
peer_pressure,0.4976901908822838
noise_level,0.4254167858927493
living_conditions,0.40364102346186614
study_load,0.39445149230106735
breathing_problem,0.3698703228703709
mental_health_history,0.2407960921549633
