Característica,Fisher_Score,Rank
c_ACC_mag_zcr,0.6344942012711862,1
c_ACC_mag_iqr,0.6104633025138932,2
c_ECG_hr_std,0.5226391007391308,3
c_ACC_mag_std,0.5060706645967292,4
c_RESP_q25,0.4279663033438931,5
c_RESP_std,0.37481999775415326,6
c_EDA_scr_std,0.3503980285535914,7
c_ECG_iqr,0.34918281559081643,8
w_ACC_x_zcr,0.33612494567045503,9
c_RESP_spectral_energy,0.3353768672988063,10
c_RESP_max,0.3255072231812305,11
c_ECG_hr_mean,0.31524146962607824,12
c_EDA_std,0.29100623270044995,13
c_RESP_peak_freq,0.2908115210059122,14
w_EDA_scr_std,0.28827275188156826,15
c_ECG_q75,0.279435675465701,16
c_EDA_range,0.2641213634695769,17
c_ECG_kurtosis,0.2639714458666288,18
w_BVP_zcr,0.2567734590709866,19
c_EDA_spectral_entropy,0.251249126600695,20
w_ACC_mag_std,0.2500699723065874,21
c_EDA_scr_num_peaks,0.24674616568822147,22
c_ACC_mag_min,0.24044595164192564,23
c_RESP_iqr,0.2358547207116349,24
c_RESP_range,0.23373393820385194,25
c_EDA_iqr,0.2326671847042297,26
w_EDA_range,0.22961410292764275,27
w_ACC_mag_iqr,0.22814803589467292,28
c_RESP_spectral_entropy,0.22685686030705457,29
w_ACC_mag_spectral_energy,0.22354234235964063,30
c_ECG_q25,0.21969163705150047,31
w_EDA_deriv_std,0.2178415813283721,32
c_EDA_zcr,0.2121769178259637,33
w_ACC_mag_max,0.2062891768456842,34
w_EDA_std,0.2038767826114034,35
c_ACC_x_range,0.1829498968849266,36
c_EDA_spectral_energy,0.1820604008105503,37
w_EDA_iqr,0.16332760490173676,38
w_ACC_mag_min,0.15625088384605237,39
w_EDA_mean,0.1537799816154445,40
c_RESP_skewness,0.15327217120073564,41
w_ACC_mag_peak_freq,0.1481477476247465,42
c_ECG_rmssd,0.14790556934442506,43
c_ECG_min,0.1462298849441342,44
c_ECG_rr_std,0.1455259738830285,45
w_BVP_median,0.14540956280247558,46
w_TEMP_deriv_mean,0.14290162350856653,47
c_ACC_mag_max,0.1388024785595935,48
w_EDA_scl_std,0.13528385394238468,49
c_RESP_median,0.13512710981309817,50
c_ACC_x_max,0.13483592603584246,51
w_BVP_spectral_entropy,0.13112463199304325,52
c_ACC_x_zcr,0.13021995033858177,53
w_TEMP_slope,0.12812972813488438,54
c_ACC_z_range,0.12470431606670888,55
w_EDA_scr_num_peaks,0.12380032292152561,56
c_ECG_std,0.12334034537187856,57
w_ACC_z_zcr,0.12289251667700525,58
w_ACC_y_zcr,0.12108076896845289,59
w_ACC_mag_zcr,0.11552048500738646,60
w_ACC_z_rms,0.11479403717166198,61
c_ECG_skewness,0.1072250783351088,62
c_RESP_min,0.09803465317167724,63
w_EDA_spectral_energy,0.09593298773574208,64
c_ACC_y_range,0.0957916068330296,65
c_ECG_zcr,0.08855181830076288,66
c_ACC_y_max,0.08659757704415473,67
c_ACC_z_max,0.07789613717307822,68
c_ACC_z_zcr,0.07777675720334619,69
w_ACC_z_min,0.07646652570771112,70
w_BVP_spectral_energy,0.07446476594167935,71
c_ECG_range,0.07306356789419345,72
c_RESP_q75,0.0713660062441654,73
c_EDA_mean,0.06804651682138343,74
c_ACC_mag_peak_freq,0.06663980241613951,75
w_ACC_x_range,0.06179524304926557,76
w_ACC_mag_q75,0.06145769826526845,77
w_BVP_std,0.05994895814262271,78
w_EDA_deriv_mean,0.05936970437587638,79
w_ACC_mag_q25,0.05703725923252339,80
w_ACC_z_range,0.05510918183443417,81
w_ACC_y_range,0.0545264071437409,82
c_ACC_mag_mean,0.05422679734575218,83
c_ACC_x_mean,0.050318214589430796,84
w_EDA_zcr,0.04859303142935373,85
c_ACC_mag_rms,0.04791413889263704,86
c_ACC_x_std,0.047434822890146396,87
c_ACC_z_rms,0.047330610746721395,88
w_ACC_mag_rms,0.04699110194623982,89
w_ACC_y_min,0.04666633388246883,90
c_ACC_mag_spectral_entropy,0.04129496906589649,91
w_ACC_y_rms,0.041168233351443685,92
c_ACC_z_mean,0.0399300411443952,93
c_TEMP_mean,0.03954800652779764,94
c_RESP_zcr,0.03780104560852086,95
w_BVP_max,0.035377279896883565,96
w_BVP_peak_freq,0.03480032531342017,97
c_EDA_kurtosis,0.03440064875507886,98
w_BVP_q25,0.03384945409795354,99
w_ACC_z_mean,0.032399517032866344,100
c_EDA_deriv_std,0.03236323080823384,101
w_TEMP_zcr,0.031006026488121275,102
w_BVP_range,0.030895492694998104,103
w_TEMP_mean,0.03036121253056994,104
w_ACC_z_q75,0.029973622604654193,105
c_ACC_x_iqr,0.02643077375910483,106
w_ACC_z_q25,0.026323666687436402,107
c_ACC_y_mean,0.025985602171531643,108
c_ACC_y_q25,0.025080047318195915,109
c_ACC_y_rms,0.024467902990625966,110
c_EMG_peak_freq,0.022978911900407333,111
w_EDA_skewness,0.02273100006487838,112
w_BVP_min,0.02257173854526284,113
c_TEMP_std,0.022432765757431722,114
c_ECG_peak_freq,0.022067945876353155,115
c_ACC_y_zcr,0.021184993289105628,116
c_EMG_wl,0.017286815463907666,117
c_ACC_z_std,0.016764235164977437,118
c_EMG_zcr,0.015973567969602157,119
w_ACC_mag_skewness,0.015702499767000024,120
w_ACC_mag_mean,0.014865261368891786,121
c_EDA_peak_freq,0.014613785135473675,122
c_TEMP_iqr,0.014566303141833955,123
w_ACC_x_min,0.014280864428895621,124
c_TEMP_skewness,0.013872039353335246,125
w_ACC_x_max,0.01342130784744082,126
w_TEMP_kurtosis,0.013342925450705175,127
c_ECG_mean,0.012042557520882,128
c_RESP_kurtosis,0.011632705665830198,129
c_ACC_y_kurtosis,0.010740733923603826,130
c_ACC_z_iqr,0.010475430996102706,131
w_ACC_y_q75,0.01025583567660186,132
c_EMG_mav,0.009989272058719514,133
w_ACC_y_mean,0.00982877174791546,134
w_ACC_y_q25,0.009237085253771342,135
c_TEMP_zcr,0.00850703395500488,136
w_ACC_x_rms,0.007915604582014608,137
c_EMG_spectral_energy,0.007730298619075448,138
c_ACC_z_kurtosis,0.007423438843675252,139
c_ACC_mag_skewness,0.007284315017748356,140
c_EDA_scr_mean,0.007025516644633294,141
w_ACC_z_max,0.006910427512862008,142
c_EMG_std,0.0065883148111042554,143
c_EDA_skewness,0.006478276116669009,144
w_BVP_skewness,0.006402330523057003,145
c_EMG_q25,0.005970891918406239,146
w_ACC_x_iqr,0.005585997557862772,147
c_EMG_iqr,0.005443867413006473,148
c_EMG_q75,0.00523506259493186,149
c_RESP_rate_std,0.00421621890623214,150
w_ACC_y_max,0.004040130914103553,151
c_ACC_y_std,0.0031483700720006153,152
c_EMG_spectral_entropy,0.002712591153193718,153
w_BVP_kurtosis,0.002556315340318841,154
c_ECG_pnn50,0.0024854940367650892,155
w_EDA_spectral_entropy,0.00229387527907106,156
c_EMG_skewness,0.0021726756530965,157
c_EMG_max,0.0019796592845555453,158
w_ACC_z_skewness,0.001975123687568863,159
c_RESP_mean,0.0015350053378225131,160
w_EDA_scr_mean,0.0014718123789981942,161
c_ACC_x_kurtosis,0.0012315579725588623,162
c_EMG_range,0.0012086067023513755,163
c_ACC_z_min,0.0010619411730840244,164
c_RESP_rate_mean,0.0009984004716366188,165
c_ECG_spectral_entropy,0.0009034282775145518,166
c_ECG_median,0.0008831944898616341,167
c_ACC_y_min,0.0007988215713595723,168
c_EMG_kurtosis,0.0007864157741278728,169
w_EDA_peak_freq,0.0007597234312603143,170
w_ACC_mag_kurtosis,0.0006782183836117803,171
c_ACC_z_skewness,0.0006055247953764901,172
w_ACC_x_std,0.0005779605487420053,173
w_EDA_kurtosis,0.0005748520128487215,174
c_EMG_min,0.0004966992677326758,175
w_TEMP_skewness,0.0004665586183731172,176
c_ACC_y_iqr,0.0003693291709519726,177
w_ACC_mag_spectral_entropy,0.0003488241804852818,178
w_ACC_z_kurtosis,0.0003298520719126518,179
c_ACC_mag_kurtosis,0.00029916074174644685,180
c_EMG_mean,0.00026356471466509494,181
w_ACC_mag_median,0.0002626658072049255,182
w_ACC_z_iqr,0.0002242069696842382,183
w_TEMP_deriv_std,0.0001673138189456467,184
